[2, 3, 4, 8, 9, 12, 13, 14, 10, 11]
['GIoU', 'Objectness', 'Classification', 'Precision', 'Recall', 'val GIoU', 'val Objectness', 'val Classification', 'mAP@0.5', 'F1']
       0         1         2:GIoU  3 Obj       4:Cls      5         6         7        8:P      9:R       10:mAP    11:F1    12:vGiou   13:vObj   14:vCls
     0/272     4.64G      1.67      1.82         0      3.49        99       416     0.287     0.818     0.474     0.424      1.54      1.42         0
     1/272     4.65G      1.42      1.22         0      2.64       117       416     0.393     0.882     0.716     0.544       1.3      1.14         0
     2/272     4.65G      1.26      1.01         0      2.27        97       416     0.475     0.922      0.82     0.627      1.17     0.938         0
     3/272     4.65G      1.18     0.894         0      2.07        86       416      0.51     0.924     0.839     0.657      1.13     0.861         0
     4/272     4.65G      1.12     0.834         0      1.95        97       416     0.586     0.925      0.86     0.718      1.07     0.791         0
     5/272     4.65G      1.07     0.775         0      1.84        87       416     0.587      0.92     0.863     0.717      1.05     0.797         0
     6/272     4.65G      1.02     0.726         0      1.75        90       416     0.629     0.929      0.88      0.75     0.968     0.738         0
     7/272     4.65G     0.984     0.675         0      1.66        82       416     0.634     0.933     0.886     0.755     0.965     0.709         0
     8/272     4.65G     0.965     0.661         0      1.63        88       416     0.664     0.941     0.904     0.778     0.915     0.652         0
     9/272     4.65G     0.949     0.656         0       1.6       119       416     0.665     0.939     0.892     0.779     0.894     0.647         0
    10/272     4.65G     0.915     0.628         0      1.54       132       416      0.75      0.93     0.903      0.83     0.873     0.613         0
    11/272     4.65G     0.894     0.618         0      1.51       123       416     0.735     0.935     0.907     0.823     0.845     0.582         0
    12/272     4.65G     0.878     0.592         0      1.47       137       416     0.709     0.935     0.904     0.807      0.87     0.612         0
    13/272     4.65G     0.856     0.569         0      1.42       109       416     0.739     0.935     0.908     0.825     0.829      0.58         0
    14/272     4.65G     0.843     0.546         0      1.39       119       416      0.74     0.952     0.929     0.833       0.8     0.544         0
    15/272     4.65G     0.838     0.542         0      1.38        83       416     0.737     0.941     0.918     0.826     0.816     0.558         0
    16/272     4.65G     0.824     0.561         0      1.38       132       416     0.763     0.943      0.92     0.844     0.802     0.557         0
    17/272     4.65G     0.809     0.538         0      1.35       162       416     0.784     0.942     0.922     0.855     0.771     0.541         0
    18/272     4.65G     0.801      0.53         0      1.33       186       416     0.795     0.937     0.914      0.86     0.776      0.54         0
    19/272     4.65G     0.799     0.523         0      1.32       101       416     0.779     0.946     0.922     0.855     0.778     0.533         0
    20/272     4.65G     0.782      0.52         0       1.3        81       416     0.807     0.939     0.917     0.868     0.751     0.516         0
    21/272     4.65G     0.768     0.507         0      1.28       133       416     0.769     0.953     0.932     0.851     0.731     0.502         0
    22/272     4.65G     0.763     0.496         0      1.26       105       416     0.782     0.948     0.926     0.857     0.752     0.507         0
    23/272     4.65G     0.761     0.481         0      1.24        97       416      0.81     0.946     0.925     0.873     0.734     0.513         0
    24/272     4.65G      0.76      0.49         0      1.25       139       416     0.813     0.948     0.928     0.875     0.728     0.501         0
    25/272     4.65G     0.743     0.481         0      1.22       129       416     0.764     0.955     0.932     0.849     0.723     0.499         0
    26/272     4.65G     0.746     0.476         0      1.22        84       416     0.744     0.953     0.931     0.836     0.764     0.516         0
    27/272     4.65G     0.728     0.487         0      1.22        93       416     0.806     0.954     0.937     0.874     0.704      0.48         0
    28/272     4.65G     0.728     0.478         0      1.21       149       416     0.773     0.959     0.938     0.856     0.695     0.481         0
    29/272     4.65G     0.723     0.466         0      1.19       100       416     0.762     0.955     0.933     0.848     0.713     0.488         0
    30/272     4.65G     0.715     0.463         0      1.18       107       416     0.785     0.953     0.934     0.861      0.73     0.473         0
    31/272     4.65G     0.711     0.451         0      1.16        74       416     0.828     0.945     0.928     0.883     0.702     0.483         0
    32/272     4.65G     0.708     0.456         0      1.16       123       416     0.756     0.948     0.925     0.841     0.733     0.517         0
    33/272     4.65G     0.691      0.45         0      1.14       112       416     0.828      0.95     0.934     0.885     0.674     0.459         0
    34/272     4.65G     0.699     0.449         0      1.15       125       416     0.777     0.955     0.936     0.857     0.693     0.479         0
    35/272     4.65G     0.692     0.452         0      1.14        87       416     0.816     0.948     0.928     0.877     0.677     0.469         0
    36/272     4.65G     0.688     0.433         0      1.12       103       416     0.819     0.949     0.926     0.879     0.698     0.474         0
    37/272     4.65G     0.677     0.437         0      1.11       100       416     0.805     0.949      0.93     0.871     0.666     0.473         0
    38/272     4.65G     0.675     0.443         0      1.12        97       416     0.841     0.952     0.937     0.893     0.671     0.448         0
    39/272     4.65G     0.681     0.434         0      1.11        69       416     0.827     0.952     0.935     0.885     0.673     0.466         0
    40/272     4.65G     0.671     0.418         0      1.09       163       416     0.838      0.95     0.933      0.89     0.674     0.463         0
    41/272     4.65G      0.67     0.429         0       1.1        95       416     0.826     0.952     0.936     0.885     0.673     0.456         0
    42/272     4.65G     0.665     0.422         0      1.09        72       416     0.832     0.955     0.937     0.889     0.666     0.444         0
    43/272     4.65G     0.664     0.409         0      1.07       119       416     0.845      0.95     0.934     0.894     0.656     0.437         0
    44/272     4.65G     0.663      0.42         0      1.08        84       416     0.816     0.953     0.937     0.879     0.657     0.453         0
    45/272     4.65G     0.652     0.402         0      1.05        83       416     0.812     0.954     0.937     0.878      0.66     0.449         0
    46/272     4.65G     0.658     0.412         0      1.07       102       416     0.818     0.959     0.938     0.883     0.645     0.442         0
    47/272     4.65G     0.648     0.413         0      1.06       113       416     0.835     0.955     0.938     0.891     0.653     0.443         0
    48/272     4.65G     0.641     0.393         0      1.03        63       416     0.843     0.955     0.937     0.896     0.647     0.443         0
    49/272     4.65G     0.645     0.415         0      1.06       134       416     0.847     0.955     0.939     0.898     0.638     0.433         0
    50/272     4.65G     0.647     0.412         0      1.06        85       416     0.833     0.959     0.938     0.892     0.659     0.431         0
    51/272     4.65G     0.642     0.404         0      1.05        95       416     0.851     0.953     0.938     0.899     0.646     0.443         0
    52/272     4.65G     0.632     0.414         0      1.05        97       416     0.851      0.95     0.935     0.898     0.642     0.443         0
    53/272     4.65G     0.631     0.395         0      1.03        91       416     0.842     0.955     0.938     0.895     0.619     0.424         0
    54/272     4.65G     0.628     0.399         0      1.03        92       416     0.848     0.951     0.938     0.896     0.651     0.439         0
    55/272     4.65G     0.628     0.405         0      1.03        98       416     0.829     0.951     0.938     0.886     0.637      0.43         0
    56/272     4.65G     0.623      0.39         0      1.01        99       416     0.834      0.96     0.945     0.892     0.623     0.422         0
    57/272     4.65G     0.623     0.395         0      1.02        95       416     0.811     0.965     0.946     0.882     0.627     0.423         0
    58/272     4.65G     0.616     0.391         0      1.01       121       416     0.854     0.953     0.938     0.901     0.628     0.436         0
    59/272     4.65G     0.619     0.397         0      1.02       104       416     0.856     0.951     0.939     0.901     0.636     0.433         0
    60/272     4.65G      0.61     0.393         0         1       142       416     0.851     0.952     0.939     0.899     0.641      0.44         0
    61/272     4.65G     0.614      0.38         0     0.993       121       416     0.848     0.957     0.939     0.899      0.62     0.418         0
    62/272     4.65G     0.614     0.383         0     0.998       134       416     0.833     0.962     0.947     0.893     0.617     0.415         0
    63/272     4.65G     0.609     0.383         0     0.992        97       416     0.851     0.957     0.938     0.901     0.628     0.432         0
    64/272     4.65G     0.609     0.377         0     0.986       106       416     0.854     0.956     0.939     0.902     0.619     0.423         0
    65/272     4.65G       0.6     0.376         0     0.976       107       416     0.843     0.955     0.939     0.896     0.629     0.426         0
    66/272     4.65G       0.6     0.376         0     0.977        72       416     0.849     0.957     0.937     0.899     0.638     0.426         0
    67/272     4.65G     0.607     0.387         0     0.993       114       416     0.856     0.959     0.938     0.904     0.614     0.414         0
    68/272     4.65G       0.6     0.377         0     0.977        75       416     0.852     0.957     0.938     0.901     0.615      0.41         0
    69/272     4.65G     0.598     0.373         0      0.97       182       416     0.844     0.956     0.939     0.896     0.654     0.435         0
    70/272     4.65G     0.593     0.368         0     0.961       119       416     0.855     0.955     0.939     0.902     0.632     0.429         0
    71/272     4.65G     0.596     0.366         0     0.962       104       416     0.856     0.956     0.938     0.903     0.619     0.423         0
    72/272     4.65G     0.592     0.372         0     0.964        97       416     0.866      0.95     0.938     0.906     0.613     0.416         0
    73/272     4.65G     0.593     0.369         0     0.962        75       416     0.858     0.958     0.939     0.905      0.61     0.407         0
    74/272     4.65G     0.583     0.359         0     0.943        84       416     0.843     0.955      0.94     0.896     0.623     0.424         0
    75/272     4.65G     0.588     0.374         0     0.962        66       416     0.837     0.957     0.939     0.893     0.632     0.433         0
    76/272     4.65G     0.581     0.356         0     0.936       128       416     0.849     0.956     0.939     0.899     0.616     0.421         0
    77/272     4.65G     0.587     0.363         0      0.95       123       416      0.83     0.962     0.947     0.892     0.605     0.413         0
    78/272     4.65G     0.581     0.352         0     0.933        73       416     0.847     0.962     0.946     0.901     0.605     0.409         0
    79/272     4.65G     0.581     0.366         0     0.947        94       416     0.849     0.957     0.938       0.9     0.604     0.415         0
    80/272     4.65G     0.574      0.36         0     0.934        65       416      0.86     0.952     0.938     0.904     0.612     0.416         0
    81/272     4.65G     0.582     0.355         0     0.938       144       416     0.861     0.957     0.938     0.907     0.599     0.415         0
    82/272     4.65G     0.573     0.353         0     0.926        49       416     0.862     0.956     0.939     0.907     0.598     0.413         0
    83/272     4.65G     0.576      0.35         0     0.926       116       416     0.865     0.959     0.939      0.91     0.585     0.403         0
    84/272     4.65G     0.571     0.351         0     0.922        96       416     0.854     0.957     0.938     0.903     0.587     0.412         0
    85/272     4.65G      0.57     0.346         0     0.916        97       416     0.854     0.961     0.946     0.904     0.598     0.416         0
    86/272     4.65G      0.57     0.358         0     0.928       102       416     0.849     0.956     0.939       0.9      0.59     0.411         0
    87/272     4.65G     0.565     0.357         0     0.922       115       416      0.86     0.956     0.938     0.905     0.589     0.405         0
    88/272     4.65G     0.567      0.35         0     0.917        99       416     0.861     0.956     0.939     0.906     0.591     0.413         0
    89/272     4.65G     0.563     0.342         0     0.905       114       416     0.849     0.958     0.937     0.901     0.594     0.417         0
    90/272     4.65G     0.563      0.35         0     0.913        96       416      0.86     0.955     0.939     0.905     0.579     0.421         0
    91/272     4.65G     0.567     0.343         0      0.91       116       416     0.844     0.963     0.947       0.9     0.591     0.406         0
    92/272     4.65G     0.564     0.354         0     0.917       143       416      0.87     0.956     0.939     0.911     0.586     0.409         0
    93/272     4.65G     0.562     0.343         0     0.905       108       416     0.861     0.961     0.948     0.908     0.589     0.403         0
    94/272     4.65G     0.556     0.345         0     0.901        66       416     0.867     0.956     0.939     0.909     0.593     0.428         0
    95/272     4.65G     0.559     0.338         0     0.897        67       416     0.847     0.956     0.938     0.898     0.591     0.422         0
    96/272     4.65G     0.557     0.346         0     0.903       105       416      0.86     0.956     0.939     0.905     0.608     0.419         0
    97/272     4.65G     0.562     0.345         0     0.907        87       416     0.871     0.957      0.94     0.912     0.604     0.417         0
    98/272     4.65G     0.557      0.34         0     0.898       122       416     0.877      0.96     0.945     0.916     0.585     0.411         0
    99/272     4.65G     0.552     0.348         0     0.901        75       416      0.87     0.954     0.939      0.91     0.584     0.406         0
   100/272     4.65G     0.547     0.328         0     0.875       126       416     0.868     0.958     0.939     0.911     0.598     0.416         0
   101/272     4.65G     0.552      0.34         0     0.892        99       416     0.858     0.955     0.939     0.904     0.587     0.411         0
   102/272     4.65G     0.552     0.342         0     0.894       114       416     0.864     0.958     0.939     0.908     0.586     0.407         0
   103/272     4.65G     0.544     0.335         0     0.879        96       416     0.875     0.959      0.94     0.915     0.581     0.406         0
   104/272     4.65G     0.553      0.34         0     0.893       158       416     0.874     0.956      0.94     0.913     0.582     0.409         0
   105/272     4.65G      0.55     0.335         0     0.885       134       416     0.856     0.962     0.949     0.906     0.584     0.411         0
   106/272     4.65G     0.545     0.336         0      0.88       104       416     0.872     0.954     0.937     0.911      0.59      0.42         0
   107/272     4.65G     0.547     0.333         0      0.88       122       416     0.891     0.946      0.93     0.918     0.601     0.431         0
   108/272     4.65G     0.546     0.345         0     0.891        98       416     0.871     0.963     0.948     0.915     0.574     0.395         0
   109/272     4.65G     0.546     0.327         0     0.872        93       416     0.845     0.961     0.948     0.899     0.586     0.396         0
   110/272     4.65G     0.538     0.338         0     0.876       118       416     0.868     0.959     0.939     0.911     0.582     0.409         0
   111/272     4.65G     0.538      0.33         0     0.867        77       416     0.875     0.953     0.939     0.912     0.597      0.41         0
   112/272     4.65G     0.543      0.34         0     0.883       123       416     0.865     0.957     0.939     0.909     0.564     0.403         0
   113/272     4.65G      0.54     0.326         0     0.866        52       416     0.864     0.958     0.939     0.909     0.586     0.401         0
   114/272     4.65G     0.535     0.332         0     0.867        89       416     0.867      0.96     0.949     0.911     0.579     0.392         0
